player_name,headshot_url,source
Travis Hunter,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426388.png,ESPN
Shedeur Sanders,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4432366.png,ESPN
