school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Army,American Athletic,2024,12,2,9,1
North Central College,CCIW,2024,15,0,9,0
Brockport,Empire 8,2024,7,3,5,2
Hardin-Simmons,American Southwest,2024,10,1,6,1
Tulane,American Athletic,2024,9,5,7,2
Toledo,Mid-American,2024,8,5,4,4
Rensselaer,Liberty League,2024,5,5,3,3
College Of New Jersey,New Jersey,2024,6,4,3,3
Bethune-Cookman,SWAC,2024,2,10,2,6
Georgia Southern,Sun Belt,2024,8,5,6,2
John Carroll University,Ohio,2024,9,3,8,2
Texas A&M-Kingsville,Lone Star,2024,7,4,6,3
Louisiana,Sun Belt,2024,10,4,7,2
Delaware Valley,Mid Atlantic,2024,8,2,7,2
Macalester,Minnesota,2024,0,10,0,8
Rowan,New Jersey,2024,6,4,4,2
Central Oklahoma,Mid America,2024,11,2,8,1
Amherst,NESCAC,2024,2,7,2,7
Sacramento State,Big Sky,2024,3,9,1,7
Ursinus,Centennial,2024,9,2,5,1
Assumption,Northeast 10,2024,6,4,6,3
Syracuse,ACC,2024,10,3,5,3
Indiana-Pennsylvania,Pennsylvania State Athletic,2024,7,3,6,3
Oklahoma Panhandle St,Independent DII,2024,0,1,0,0
Murray State,MVFC,2024,1,11,0,8
Notre Dame,FBS Independents,2024,14,2,0,0
Dartmouth,Ivy,2024,8,2,5,2
Princeton,Ivy,2024,3,7,2,5
Winona State,Northern Sun,2024,5,6,5,5
Lindenwood,Big South-OVC,2024,5,7,4,4
Carnegie Mellon,Presidents',2024,10,2,9,1
Midwestern State,Lone Star,2024,4,7,3,6
Saginaw Valley State,GLIAC,2024,7,4,4,3
LYONCOLL,Southern Collegiate Athletic,2024,1,9,0,8
Gallaudet,ECFC,2024,3,4,2,1
St. Lawrence,Liberty League,2024,3,6,2,4
West Florida,Gulf South,2024,7,3,6,2
Robert Morris,NEC,2024,7,5,5,2
Memphis,American Athletic,2024,11,2,6,2
Mississippi State,SEC,2024,2,10,0,8
Lakeland,NACC,2024,4,5,4,4
Wayne State (MI),GLIAC,2024,2,9,2,5
Western Connecticut St,MSCAC,2024,8,2,8,1
Boise State,Mountain West,2024,12,2,8,0
Texas A&M,SEC,2024,8,5,5,3
Tennessee Tech,Big South-OVC,2024,7,5,6,2
Wisconsin-Stevens Pt,Wisconsin,2024,1,9,0,7
Wesleyan University (CT),NESCAC,2024,8,1,8,1
Middlebury,NESCAC,2024,6,3,6,3
Illinois Wesleyan,CCIW,2024,5,5,5,4
North Carolina A&T,CAA,2024,1,11,0,8
Truman State,Great Lakes,2024,7,4,6,2
Savannah St,SIAC,2024,5,5,4,4
Houston Christian,Southland,2024,5,7,3,4
Alabama State,SWAC,2024,7,5,5,3
McMurry,Southern Collegiate Athletic,2024,7,3,7,1
Utah Tech,UAC,2024,1,11,1,7
Northwestern (MN),Upper Midwest,2024,7,4,7,0
Montana State,Big Sky,2024,15,1,9,0
Gannon,Pennsylvania State Athletic,2024,3,7,3,6
Arkansas State,Sun Belt,2024,8,5,5,3
Villanova,CAA,2024,10,4,6,2
Austin,Southern Collegiate Athletic,2024,2,8,2,6
Adrian,Michigan,2024,6,4,3,4
Wartburg,American Rivers,2024,10,2,8,0
Wisconsin-Whitewater,Wisconsin,2024,6,4,4,3
Harding University,Great American,2024,12,2,10,1
Lagrange College,USA South,2024,6,4,6,2
Wisconsin-Oshkosh,Wisconsin,2024,6,4,4,3
Mars Hill,South Atlantic,2024,5,4,5,3
Hiram College,North Coast,2024,0,9,0,7
Arkansas Tech,Great American,2024,5,6,5,6
Rutgers,Big Ten,2024,7,6,4,5
Berry College,Southern Athletic,2024,8,3,6,1
Cortland,Empire 8,2024,11,1,7,0
Tennessee State,Big South-OVC,2024,9,4,6,2
Kennesaw State,Conference USA,2024,2,10,2,6
Gettysburg,Centennial,2024,2,8,1,5
Western Colorado,Rocky Mountain,2024,11,2,8,1
SMU,ACC,2024,11,3,8,1
Concordia University St Paul,Northern Sun,2024,2,9,2,8
UVA Wise,South Atlantic,2024,4,6,3,5
East Texas Baptist University,American Southwest,2024,5,4,2,4
Shippensburg,Pennsylvania State Athletic,2024,2,9,2,8
Northern Michigan,GLIAC,2024,0,11,0,7
Glenville State,Mountain East,2024,7,4,7,2
Hartwick,Empire 8,2024,2,8,1,6
Elizabeth City State,CIAA,2024,3,7,1,7
Shorter,Gulf South,2024,3,5,1,4
Florida International,Conference USA,2024,4,8,3,5
West Georgia,UAC,2024,4,7,1,7
UMass Dartmouth,MSCAC,2024,10,1,9,0
Marist,Pioneer,2024,1,10,1,7
University Of Charleston (WV),Mountain East,2024,11,1,9,0
Butler,Pioneer,2024,9,3,5,3
Northern Arizona,Big Sky,2024,8,5,6,2
VMI,Southern,2024,1,11,1,7
Samford,Southern,2024,4,7,3,4
Eastern University,Mid Atlantic,2024,5,5,5,4
Fort Lewis,Rocky Mountain,2024,3,8,2,7
Purdue,Big Ten,2024,1,11,0,9
Washburn,Mid America,2024,3,8,2,7
Troy,Sun Belt,2024,4,8,3,5
Western Illinois,Big South-OVC,2024,4,8,3,5
Wisconsin-Lutheran,NACC,2024,7,3,6,2
Austin Peay,UAC,2024,4,8,3,5
South Carolina State,MEAC,2024,9,3,5,0
San Diego State,Mountain West,2024,3,9,2,5
Nichols College,Commonwealth Coast,2024,3,7,0,5
CSU Pueblo,Rocky Mountain,2024,10,2,9,0
Towson,CAA,2024,7,5,5,3
UCF,Big 12,2024,4,8,2,7
Vanderbilt,SEC,2024,7,6,3,5
West Virginia Wesleyan,Mountain East,2024,0,11,0,9
Wilmington (OH),Ohio,2024,1,9,1,8
North Carolina Wesleyan,USA South,2024,4,6,4,4
Louisiana Tech,Conference USA,2024,5,8,4,4
St John Fisher University,Empire 8,2024,3,7,2,5
Iowa State,Big 12,2024,11,3,7,3
Gustavus Adolphus,Minnesota,2024,5,5,4,4
Norwich,NEWMAC,2024,0,10,0,7
Grinnell,Midwest,2024,2,8,2,7
Hobart College,Liberty League,2024,9,2,6,0
St. Norbert,NACC,2024,7,3,7,1
Kean,New Jersey,2024,2,8,2,4
Alma,Michigan,2024,8,2,6,1
Norfolk State,MEAC,2024,4,8,2,3
Arizona State,Big 12,2024,11,3,8,2
Edward Waters,SIAC,2024,3,7,3,5
Knox College,Midwest,2024,3,7,2,7
Eureka College,NACC,2024,0,10,0,8
Redlands,So. Cal.,2024,3,7,3,5
Augsburg,Minnesota,2024,4,6,3,5
Akron,Mid-American,2024,4,8,3,5
Gardner-Webb,Big South-OVC,2024,4,8,3,5
Incarnate Word,Southland,2024,11,3,7,0
Miami,ACC,2024,10,3,6,2
Franklin & Marshall,Centennial,2024,6,4,3,3
West Chester,Pennsylvania State Athletic,2024,4,6,4,5
Linfield College,Northwest,2024,10,2,7,0
Quincy,Great Lakes,2024,5,4,5,3
Olivet College,Michigan,2024,3,7,2,5
Roosevelt,GLIAC,2024,1,9,1,6
Arkansas-Monticello,Great American,2024,4,7,4,7
McNeese,Southland,2024,6,6,3,4
Hope College,Michigan,2024,11,1,7,0
Chowan,Gulf South,2024,3,7,3,5
UTEP,Conference USA,2024,3,9,3,5
Rhodes College,Southern Athletic,2024,3,7,2,5
Castleton,MSCAC,2024,3,7,2,7
Sacred Heart,FCS Independents,2024,5,6,1,0
Upper Iowa University,Great Lakes,2024,7,4,6,2
Missouri State,MVFC,2024,8,4,6,2
Richmond,CAA,2024,10,3,8,0
Clemson,ACC,2024,10,4,8,1
Duquesne,NEC,2024,8,3,6,1
Westminster College (MO),Upper Midwest,2024,1,9,0,7
East Texas A&M,Southland,2024,3,9,3,4
FDU-Florham,Mid Atlantic,2024,6,4,5,4
Stephen F. Austin,Southland,2024,7,5,4,4
Indiana State,MVFC,2024,4,8,3,5
Houston,Big 12,2024,4,8,3,6
Central State (OH),SIAC,2024,1,9,1,7
Bethany (WV),Presidents',2024,1,9,1,9
Springfield,NEWMAC,2024,12,1,7,0
Wayne State (NE),Northern Sun,2024,7,4,6,4
North Alabama,UAC,2024,3,9,3,5
Wisconsin-Lacrosse,Wisconsin,2024,8,4,5,2
Eastern Illinois,Big South-OVC,2024,3,9,2,6
Florida State,ACC,2024,2,10,1,7
Southwest Baptist,Great Lakes,2024,2,8,1,7
Ashland,Great Midwest Athletic,2024,9,4,8,1
Bridgewater (VA),Old Dominion,2024,6,4,4,3
Eastern Washington,Big Sky,2024,4,8,3,5
Emory & Henry College,South Atlantic,2024,9,2,7,2
Monmouth,CAA,2024,6,6,4,4
California,ACC,2024,6,7,2,6
Clarion,Pennsylvania State Athletic,2024,3,8,2,8
Stony Brook,CAA,2024,8,4,5,3
Nebraska-Kearney,Mid America,2024,5,6,3,6
Lehigh,Patriot,2024,9,4,5,1
Case Western Reserve,Presidents',2024,6,4,6,4
Catholic,Landmark Conference,2024,5,5,3,3
Sam Houston,Conference USA,2024,10,3,6,2
Valdosta State,Gulf South,2024,13,1,7,0
Eastern New Mexico,Lone Star,2024,3,8,2,8
Moravian,Landmark Conference,2024,6,4,4,2
Fitchburg State,MSCAC,2024,2,8,1,8
Grand Valley State University,GLIAC,2024,11,2,6,1
Long Island University,NEC,2024,4,8,3,3
Southern Virginia,USA South,2024,1,9,1,7
Concord University,Mountain East,2024,1,10,1,8
Johns Hopkins University,Centennial,2024,12,2,6,0
Buffalo State,Liberty League,2024,3,7,1,5
East Stroudsburg University,Pennsylvania State Athletic,2024,10,2,9,2
Post University,Northeast 10,2024,1,9,0,8
