school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Kent State,Mid-American,2024,0,12,0,8
Salve Regina,NEWMAC,2024,6,4,5,2
Widener,Mid Atlantic,2024,5,5,5,4
Alcorn State,SWAC,2024,6,6,5,3
Colgate,Patriot,2024,2,10,1,5
North Dakota State,MVFC,2024,14,2,8,1
Wittenberg,North Coast,2024,5,4,4,3
Northwestern,Big Ten,2024,4,8,2,7
NC State,ACC,2024,6,7,3,5
Ole Miss,SEC,2024,10,3,5,3
Seton Hill,Pennsylvania State Athletic,2024,3,8,3,6
Rose-Hulman,Heartland,2024,5,5,5,2
Liberty,Conference USA,2024,8,4,5,3
Virginia St,CIAA,2024,7,4,6,3
Sul Ross State,Lone Star,2024,3,8,2,8
Morehouse College,SIAC,2024,1,9,1,7
Bucknell,Patriot,2024,6,6,4,2
Shepherd,Pennsylvania State Athletic,2024,6,5,5,5
New Hampshire,CAA,2024,8,5,6,2
The Citadel,Southern,2024,5,7,3,5
Penn State,Big Ten,2024,13,3,8,2
Brevard College,USA South,2024,6,3,5,2
Alfred State,ECFC,2024,4,6,2,1
MIT,NEWMAC,2024,3,6,1,6
Newberry,South Atlantic,2024,3,7,3,5
Arkansas-Pine Bluff,SWAC,2024,3,9,2,6
Westminster (PA),Presidents',2024,7,3,7,3
Utica,Empire 8,2024,5,5,3,4
William Paterson,New Jersey,2024,1,9,0,6
William & Mary,CAA,2024,7,5,4,4
Kutztown University,Pennsylvania State Athletic,2024,11,1,10,1
Drake,Pioneer,2024,8,3,7,1
Albany State GA,SIAC,2024,6,4,6,2
Wofford,Southern,2024,5,7,3,5
Louisville,ACC,2024,9,4,5,3
Rice,American Athletic,2024,4,8,3,5
Luther,American Rivers,2024,1,9,0,8
Missouri S&T,Great Lakes,2024,4,7,3,5
South Carolina,SEC,2024,9,4,5,3
Worcester Polytechnic Institute,NEWMAC,2024,6,4,4,3
Fordham,Patriot,2024,2,10,2,4
Angelo State,Lone Star,2024,9,3,9,0
Geneva,Presidents',2024,5,5,5,5
Western Carolina,Southern,2024,7,5,6,2
Texas Lutheran,Southern Collegiate Athletic,2024,9,2,7,1
Trinity University TX,Southern Athletic,2024,8,3,6,1
Morehead State,Pioneer,2024,7,5,5,3
Illinois State,MVFC,2024,10,4,6,2
Southern Illinois,MVFC,2024,4,8,2,6
Southern Connecticut State,Northeast 10,2024,4,6,4,5
Delaware State,MEAC,2024,1,11,0,5
Albion,Michigan,2024,7,3,5,2
Catawba,South Atlantic,2024,3,8,2,7
Cornell College (IA),Midwest,2024,5,5,5,4
Dickinson (PA),Centennial,2024,5,5,2,4
Greeneville,South Atlantic,2024,1,9,1,8
Framingham State,MSCAC,2024,3,7,3,6
Puget Sound,Northwest,2024,2,8,1,7
Chicago,Midwest,2024,6,4,6,3
Columbia,Ivy,2024,7,3,5,2
Kentucky State,SIAC,2024,4,6,4,4
Sewanee,Southern Athletic,2024,2,8,1,6
Wooster,North Coast,2024,3,7,2,6
Central College,American Rivers,2024,8,2,6,2
James Madison,Sun Belt,2024,9,4,4,4
Pacific Lutheran,Northwest,2024,7,3,5,2
Lamar,Southland,2024,7,5,4,3
West Virginia State,Mountain East,2024,6,5,5,4
Otterbein,Ohio,2024,1,9,1,8
Stanford,ACC,2024,3,9,2,6
Muhlenberg,Centennial,2024,7,3,4,2
Ball State,Mid-American,2024,3,9,2,6
Hilbert College,Empire 8,2024,0,10,0,7
UAlbany,CAA,2024,4,8,2,6
Bryant,CAA,2024,2,10,0,9
Rockford,NACC,2024,4,6,2,6
Walsh,Great Midwest Athletic,2024,5,6,4,5
Fort Valley State,SIAC,2024,6,4,6,2
Georgia State,Sun Belt,2024,3,9,1,7
Trinity (CT),NESCAC,2024,7,2,7,2
Cal Poly,Big Sky,2024,3,8,2,6
Central Connecticut,NEC,2024,7,6,6,1
Delta State,Gulf South,2024,6,4,3,3
West Alabama,Gulf South,2024,9,2,6,1
Howard,MEAC,2024,4,8,1,4
NEWBERG,Northwest,2024,4,6,3,5
UAB,American Athletic,2024,3,9,2,6
East Carolina,American Athletic,2024,8,5,5,3
Texas Tech,Big 12,2024,8,5,6,3
Oklahoma,SEC,2024,6,7,2,6
Tuskegee,SIAC,2025,4,7,3,5
St. Scholastica,Minnesota,2025,3,7,2,7
Greensboro College,USA South,2025,3,7,2,5
SUNY Maritime,NEWMAC,2025,5,6,3,4
Northern Iowa,MVFC,2025,3,9,1,7
BYU,Big 12,2025,12,2,8,2
Western Connecticut St,Landmark Conference,2025,5,5,0,0
Wisconsin,Big Ten,2025,4,8,2,7
UL Monroe,Sun Belt,2025,3,9,1,7
Minnesota State Moorhead,Northern Sun,2025,8,3,6,3
Eastern Kentucky,UAC,2025,5,7,3,5
Ferris State,GLIAC,2025,16,0,7,0
Elon,CAA,2025,6,6,4,4
Wilkes,Landmark Conference,2025,7,4,3,2
Bethel (MN),Minnesota,2025,12,1,9,0
Saint Vincent,Presidents',2025,2,8,1,6
Kenyon,North Coast,2025,1,9,1,6
Delaware,Conference USA,2025,7,6,4,4
Manchester,Heartland,2025,0,10,0,6
Buena Vista,American Rivers,2025,3,7,2,6
Shaw,CIAA,2025,2,8,2,5
Valparaiso,Pioneer,2025,2,10,1,7
Coastal Carolina,Sun Belt,2025,6,7,5,3
Monmouth (IL),Midwest,2025,9,2,9,0
Washington State,Pac-12,2025,7,6,1,1
Wake Forest,ACC,2025,9,4,4,4
Coe College,American Rivers,2025,9,3,7,1
New Mexico Highlands,Rocky Mountain,2025,6,5,4,5
Wisconsin-Eau Claire,Wisconsin,2025,3,7,0,7
North Park,CCIW,2025,3,7,2,7
Lane College,SIAC,2025,0,10,0,8
Morgan State,MEAC,2025,4,8,1,4
Mississippi Valley State,SWAC,2025,2,10,1,8
Stonehill,NEC,2025,4,8,3,4
Mercer,Southern,2025,9,3,8,0
Millersville,Pennsylvania State Athletic,2025,0,11,0,9
Hanover College,Heartland,2025,9,3,6,0
Georgia,SEC,2025,12,2,8,2
Wisconsin-Platteville,Wisconsin,2025,9,3,5,2
Hampton,CAA,2025,2,10,0,8
Franklin,Heartland,2025,5,5,3,3
USC,Big Ten,2025,9,4,7,2
Minnesota State Mankato,Northern Sun,2025,10,4,6,3
New Mexico State,Conference USA,2025,4,8,2,6
La Verne,So. Cal.,2025,1,8,1,7
Pittsburgh,ACC,2025,8,5,6,2
Western Kentucky,Conference USA,2025,9,4,6,2
South Dakota,MVFC,2025,10,5,6,2
Salisbury,New Jersey,2025,10,2,5,1
San Diego,Pioneer,2025,8,4,6,2
Florida,SEC,2025,4,8,2,6
Youngstown State,MVFC,2025,8,5,5,3
Dayton,Pioneer,2025,7,4,5,3
Bentley,Northeast 10,2025,7,4,7,1
Charleston Southern,Big South-OVC,2025,5,7,4,4
Beloit,Midwest,2025,1,9,1,8
Fayetteville State,CIAA,2025,6,4,6,1
Kings College (PA),Mid Atlantic,2025,5,5,5,4
University of Rochester (NY),Liberty League,2025,5,5,1,5
Capital,Ohio,2025,3,7,1,7
Colorado State,Mountain West,2025,2,10,1,7
New Haven,NEC,2025,5,5,0,0
Middle Tennessee,Conference USA,2025,3,9,2,6
Chattanooga,Southern,2025,5,7,4,4
Washington & Jefferson,Presidents',2025,8,3,7,0
Lake Erie,Great Midwest Athletic,2025,2,9,2,7
Northwestern State,Southland,2025,1,11,0,8
Miami (OH),Mid-American,2025,7,7,6,3
Carthage,CCIW,2025,4,6,3,6
Mercyhurst,NEC,2025,5,7,4,3
Reading,Mid Atlantic,2025,0,10,0,9
Kalamazoo,Michigan,2025,4,6,1,6
Carroll University (WI),CCIW,2025,4,6,4,5
North Greenville,Carolinas,2025,7,5,4,4
Averett,Old Dominion,2025,1,9,1,5
Lewis & Clark College,Northwest,2025,6,4,5,4
Hawai'i,Mountain West,2025,9,4,5,3
Alfred University,Empire 8,2025,4,6,2,4
Kentucky Wesleyan,Great Midwest Athletic,2025,0,11,0,9
Oberlin,North Coast,2025,0,10,0,8
Maine,CAA,2025,6,6,5,3
Southern Nazarene,Great American,2025,2,9,2,9
Oklahoma State,Big 12,2025,1,11,0,9
Southwest Minnesota State,Northern Sun,2025,1,10,0,10
South Alabama,Sun Belt,2025,4,8,3,5
Southern,SWAC,2025,2,10,2,8
Slippery Rock,Pennsylvania State Athletic,2025,6,4,5,4
Depauw,North Coast,2025,10,2,7,0
Georgia Tech,ACC,2025,9,4,6,2
Merchant Marine Academy,NEWMAC,2025,8,2,5,2
Duke,ACC,2025,9,5,7,2
Hamilton,NESCAC,2025,2,7,2,7
Minnesota,Big Ten,2025,8,5,5,4
Temple,American Athletic,2025,5,7,3,5
Bloomsburg,Pennsylvania State Athletic,2025,3,8,3,7
Bemidji State,Northern Sun,2025,4,7,3,6
Presbyterian,Pioneer,2025,10,2,6,2
Husson,Commonwealth Coast,2025,4,6,1,4
Sioux Falls,Northern Sun,2025,7,4,6,4
Idaho State,Big Sky,2025,6,6,5,3
Pennsylvania,Ivy,2025,6,4,4,3
North Texas,American Athletic,2025,12,2,7,2
Chapman,So. Cal.,2025,9,3,8,0
Concordia University Chicago,NACC,2025,4,6,2,6
Heidelberg,Ohio,2025,6,4,5,3
Campbell,CAA,2025,2,10,2,6
Hampden-Sydney,Old Dominion,2025,7,3,3,3
Missouri Southern State,Mid America,2025,3,8,1,8
San José State,Mountain West,2025,3,9,2,6
Texas Southern,SWAC,2025,6,5,5,3
Michigan Tech,GLIAC,2025,7,4,4,3
Alabama,SEC,2025,11,4,8,2
Arizona,Big 12,2025,9,4,6,3
Jacksonville State,Conference USA,2025,9,5,7,2
Johnson C Smith,CIAA,2025,10,2,8,1
Adams State,Rocky Mountain,2025,0,11,0,9
Tennessee,SEC,2025,8,5,4,4
Air Force,Mountain West,2025,4,8,3,5
Davidson,Pioneer,2025,2,10,1,7
Lafayette,Patriot,2025,8,4,5,1
Arkansas,SEC,2025,2,10,0,8
Keystone,Independent DIII,2025,1,1,0,0
Chowan,Carolinas,2025,4,7,3,4
Northwestern Oklahoma State,Great American,2025,2,9,2,9
Washington University (St. Louis),CCIW,2025,8,3,7,2
Apprentice School,Independent DIII,2025,0,3,0,0
Findlay,Great Midwest Athletic,2025,10,2,8,1
Augustana (IL),CCIW,2025,7,3,6,3
South Dakota State,MVFC,2025,9,5,4,4
Stevenson,Mid Atlantic,2025,6,4,5,4
Navy,American Athletic,2025,11,2,8,1
Northwest Missouri St,Mid America,2025,9,3,8,1
St. Anselm,Northeast 10,2025,5,5,5,4
Stetson,Pioneer,2025,3,9,2,6
Army,American Athletic,2025,7,6,4,5
North Central College,CCIW,2025,14,1,9,0
Brockport,Empire 8,2025,7,4,3,3
Hardin-Simmons,American Southwest,2025,9,2,5,1
Rensselaer,Liberty League,2025,8,3,4,2
College Of New Jersey,New Jersey,2025,6,4,2,4
Toledo,Mid-American,2025,8,5,6,2
Tulane,American Athletic,2025,11,3,8,1
Bethune-Cookman,SWAC,2025,6,6,5,3
Georgia Southern,Sun Belt,2025,7,6,5,4
John Carroll University,Ohio,2025,12,2,1,0
Texas A&M-Kingsville,Lone Star,2025,5,6,4,5
Louisiana,Sun Belt,2025,6,7,5,3
Delaware Valley,Mid Atlantic,2025,8,3,7,2
Macalester,Minnesota,2025,3,7,2,7
Wilson,Carolinas,2025,3,8,0,1
Rowan,New Jersey,2025,8,2,4,2
Central Oklahoma,Mid America,2025,6,5,6,3
Amherst,NESCAC,2025,5,4,5,4
Sacramento State,Big Sky,2025,7,5,5,3
Ursinus,Centennial,2025,7,4,2,4
Assumption,Northeast 10,2025,9,3,7,1
Syracuse,ACC,2025,3,9,1,7
Indiana-Pennsylvania,Pennsylvania State Athletic,2025,7,4,7,2
Oklahoma Panhandle St,Independent DII,2025,0,1,0,0
Murray State,MVFC,2025,1,11,1,7
Notre Dame,FBS Independents,2025,10,2,0,0
Dartmouth,Ivy,2025,7,3,4,3
Princeton,Ivy,2025,3,7,2,5
Winona State,Northern Sun,2025,6,5,6,5
Lindenwood,Big South-OVC,2025,6,6,5,3
Carnegie Mellon,Presidents',2025,6,5,0,0
Midwestern State,Lone Star,2025,3,8,3,6
Saginaw Valley State,GLIAC,2025,6,5,5,2
LYONCOLL,Southern Collegiate Athletic,2025,2,7,1,3
St. Lawrence,Liberty League,2025,4,6,2,4
West Florida,Gulf South,2025,10,2,5,1
Robert Morris,NEC,2025,3,9,2,5
Memphis,American Athletic,2025,8,5,4,4
Mississippi State,SEC,2025,5,8,1,7
Lakeland,NACC,2025,4,6,4,4
Wayne State (MI),GLIAC,2025,0,11,0,7
Boise State,Mountain West,2025,9,5,7,2
Tennessee Tech,Big South-OVC,2025,11,2,8,0
Texas A&M,SEC,2025,11,2,7,1
Wisconsin-Stevens Pt,Wisconsin,2025,4,6,1,6
Middlebury,NESCAC,2025,5,4,5,4
Wesleyan University (CT),NESCAC,2025,7,2,7,2
Illinois Wesleyan,CCIW,2025,4,6,4,5
North Carolina A&T,CAA,2025,2,10,2,6
Truman State,Great Lakes,2025,8,4,7,2
Savannah St,SIAC,2025,4,6,3,5
Houston Christian,Southland,2025,2,10,1,6
Alabama State,SWAC,2025,10,2,8,1
McMurry,Southern Collegiate Athletic,2025,6,4,4,1
Utah Tech,UAC,2025,2,10,1,7
Northwestern (MN),Upper Midwest,2025,4,6,4,3
Montana State,Big Sky,2025,14,2,9,0
Gannon,Pennsylvania State Athletic,2025,1,10,1,8
Arkansas State,Sun Belt,2025,7,6,5,3
Villanova,CAA,2025,12,3,7,1
Austin,Southern Collegiate Athletic,2025,3,6,3,3
Adrian,Michigan,2025,8,2,5,2
Wartburg,American Rivers,2025,10,1,8,0
Wisconsin-Whitewater,Wisconsin,2025,8,3,5,2
Gallaudet,Old Dominion,2025,1,8,0,0
Harding University,Great American,2025,15,1,11,0
Lagrange College,USA South,2025,10,2,7,0
Wisconsin-Oshkosh,Wisconsin,2025,5,5,3,4
Mars Hill,South Atlantic,2025,5,6,4,5
Arkansas Tech,Great American,2025,7,5,7,4
Rutgers,Big Ten,2025,5,7,2,7
Berry College,Southern Athletic,2025,11,2,7,0
Cortland,Empire 8,2025,8,3,6,0
Tennessee State,Big South-OVC,2025,2,10,0,8
Kennesaw State,Conference USA,2025,10,4,8,1
Gettysburg,Centennial,2025,1,9,1,5
Maine Maritime,Commonwealth Coast,2025,0,10,0,0
Western Colorado,Rocky Mountain,2025,10,3,7,2
SMU,ACC,2025,9,4,6,2
Concordia University St Paul,Northern Sun,2025,2,9,2,7
UVA Wise,South Atlantic,2025,1,9,1,8
East Texas Baptist University,American Southwest,2025,4,6,0,6
Shippensburg,Pennsylvania State Athletic,2025,3,8,3,7
Northern Michigan,GLIAC,2025,3,8,3,5
Glenville State,Mountain East,2025,6,5,5,3
Hartwick,Empire 8,2025,4,6,2,5
Elizabeth City State,CIAA,2025,4,6,4,4
Florida International,Conference USA,2025,7,6,5,3
West Georgia,UAC,2025,8,3,5,3
UMass Dartmouth,MSCAC,2025,6,4,5,2
Marist,Pioneer,2025,5,7,3,5
University Of Charleston (WV),Mountain East,2025,8,3,7,1
Butler,Pioneer,2025,6,6,4,4
Northern Arizona,Big Sky,2025,7,5,4,4
VMI,Southern,2025,1,11,0,8
Samford,Southern,2025,1,11,1,7
Eastern University,Mid Atlantic,2025,10,2,8,1
Fort Lewis,Rocky Mountain,2025,2,9,1,8
Washburn,Mid America,2025,3,8,2,7
Purdue,Big Ten,2025,2,10,0,9
Troy,Sun Belt,2025,8,6,6,3
Western Illinois,Big South-OVC,2025,4,8,3,5
Wisconsin-Lutheran,NACC,2025,5,5,5,3
Austin Peay,UAC,2025,7,5,4,4
Ferrum,Carolinas,2025,4,7,0,0
Richmond,Patriot,2025,7,5,1,0
South Carolina State,MEAC,2025,10,3,5,0
CSU Pueblo,Rocky Mountain,2025,10,2,9,0
Nichols College,Commonwealth Coast,2025,2,8,0,5
San Diego State,Mountain West,2025,9,4,6,2
Towson,CAA,2025,6,6,4,4
UCF,Big 12,2025,5,7,2,7
Vanderbilt,SEC,2025,10,3,6,2
West Virginia Wesleyan,Mountain East,2025,0,11,0,8
Wilmington (OH),Ohio,2025,3,7,1,7
North Carolina Wesleyan,USA South,2025,4,6,2,5
Louisiana Tech,Conference USA,2025,8,5,5,3
St John Fisher University,Empire 8,2025,7,4,4,2
Iowa State,Big 12,2025,8,4,5,4
Gustavus Adolphus,Minnesota,2025,5,5,5,4
Norwich,NEWMAC,2025,1,9,0,7
Grinnell,Midwest,2025,2,8,2,7
Hobart College,Liberty League,2025,6,5,3,3
Kean,New Jersey,2025,3,7,1,5
St. Norbert,NACC,2025,5,5,5,3
Alma,Michigan,2025,8,3,7,0
Norfolk State,MEAC,2025,1,11,0,5
Arizona State,Big 12,2025,8,5,6,3
Edward Waters,SIAC,2025,5,5,4,4
Knox College,Midwest,2025,2,7,2,6
Eureka College,NACC,2025,2,8,1,7
Redlands,So. Cal.,2025,6,4,4,4
Augsburg,Minnesota,2025,4,6,4,5
Akron,Mid-American,2025,5,7,4,4
Gardner-Webb,Big South-OVC,2025,7,5,5,3
Incarnate Word,Southland,2025,5,7,3,4
Miami,ACC,2025,13,3,6,2
Franklin & Marshall,Centennial,2025,9,2,6,0
West Chester,Pennsylvania State Athletic,2025,4,7,3,6
Linfield College,Northwest,2025,7,2,6,1
Quincy,Great Lakes,2025,6,5,4,4
Olivet College,Michigan,2025,1,9,1,6
Roosevelt,GLIAC,2025,2,8,1,6
Arkansas-Monticello,Great American,2025,2,9,2,9
McNeese,Southland,2025,5,7,4,3
Hope College,Michigan,2025,9,2,6,1
UTEP,Conference USA,2025,2,10,1,7
Rhodes College,Southern Athletic,2025,1,9,0,7
Sacred Heart,FCS Independents,2025,8,4,1,0
Upper Iowa University,Great Lakes,2025,9,3,6,2
Clemson,ACC,2025,7,6,4,4
Duquesne,NEC,2025,7,5,5,2
Westminster College (MO),Upper Midwest,2025,4,6,2,5
East Texas A&M,Southland,2025,3,9,3,4
FDU-Florham,Mid Atlantic,2025,1,9,1,8
Stephen F. Austin,Southland,2025,11,3,7,0
Indiana State,MVFC,2025,3,9,1,7
Houston,Big 12,2025,10,3,6,3
Central State (OH),SIAC,2025,3,7,3,5
Bethany (WV),Presidents',2025,1,9,1,6
Springfield,NEWMAC,2025,9,3,7,0
Wayne State (NE),Northern Sun,2025,7,4,7,3
North Alabama,UAC,2025,2,10,1,7
Wisconsin-Lacrosse,Wisconsin,2025,8,3,5,2
Eastern Illinois,Big South-OVC,2025,3,9,2,6
Florida State,ACC,2025,5,7,2,6
Southwest Baptist,Great Lakes,2025,3,7,2,6
Ashland,Great Midwest Athletic,2025,10,3,8,1
Bridgewater (VA),Old Dominion,2025,4,6,3,3
Eastern Washington,Big Sky,2025,5,7,4,4
Emory & Henry College,South Atlantic,2025,8,3,6,3
Monmouth,CAA,2025,9,3,6,2
California,ACC,2025,7,6,4,4
Clarion,Pennsylvania State Athletic,2025,6,5,4,5
Stony Brook,CAA,2025,6,6,4,4
Nebraska-Kearney,Mid America,2025,6,5,4,5
Lehigh,Patriot,2025,12,1,6,0
Case Western Reserve,Presidents',2025,4,5,4,4
Catholic,Landmark Conference,2025,3,7,2,3
Sam Houston,Conference USA,2025,2,10,1,7
Valdosta State,Gulf South,2025,6,5,5,0
Eastern New Mexico,Lone Star,2025,3,8,3,6
Moravian,Landmark Conference,2025,2,8,1,4
Fitchburg State,MSCAC,2025,3,7,1,6
Grand Valley State University,GLIAC,2025,7,3,5,2
Long Island University,NEC,2025,6,6,4,3
Southern Virginia,USA South,2025,6,4,3,4
Concord University,Mountain East,2025,4,7,2,6
Johns Hopkins University,Centennial,2025,12,2,5,1
East Stroudsburg University,Pennsylvania State Athletic,2025,8,3,7,3
Buffalo State,Liberty League,2025,1,9,0,6
Post University,Northeast 10,2025,4,6,3,6
Tufts,NESCAC,2025,4,5,4,5
Franklin Pierce,Northeast 10,2025,6,4,6,2
Shorter,Carolinas,2025,2,9,0,4
Michigan,Big Ten,2025,9,4,7,2
Bowie State,CIAA,2025,3,7,2,6
Mount St. Joseph,Heartland,2025,6,5,5,1
Plymouth State,MSCAC,2025,8,2,6,1
Susquehanna,Landmark Conference,2025,11,3,5,0
Centre College Kentucky,Southern Athletic,2025,5,5,4,2
North Carolina Central,MEAC,2025,8,4,3,2
Buffalo,Mid-American,2025,5,7,4,4
Yale,Ivy,2025,9,3,6,1
East Tennessee State,Southern,2025,7,5,5,3
Furman,Southern,2025,6,6,4,4
Kansas,Big 12,2025,5,7,3,6
Nebraska,Big Ten,2025,7,6,4,5
Nicholls,Southland,2025,4,8,4,3
Virginia Union,CIAA,2025,9,3,8,1
Henderson State,Great American,2025,8,3,8,3
Bluefield State,CIAA,2025,3,7,2,5
New Mexico,Mountain West,2025,9,4,6,2
Albright,Mid Atlantic,2025,4,6,3,6
Lenoir-Rhyne,South Atlantic,2025,6,5,5,4
Virginia Tech,ACC,2025,3,9,2,6
Baldwin Wallace,Ohio,2025,8,2,6,2
PennWest California,Pennsylvania State Athletic,2025,9,4,6,3
Union (NY),Liberty League,2025,8,3,6,0
Curry College,Commonwealth Coast,2025,8,3,4,1
Tarleton State,UAC,2025,12,2,7,1
Lake Forest College,Midwest,2025,7,3,7,2
Mary Hardin-Baylor,American Southwest,2025,7,3,5,1
Prairie View A&M,SWAC,2025,10,4,8,1
Abilene Christian,UAC,2025,9,5,7,1
Nebraska Wesleyan,American Rivers,2025,1,9,1,7
Castleton,New Jersey,2025,2,8,1,0
North Dakota,MVFC,2025,8,6,5,3
Illinois College,Midwest,2025,8,3,7,2
Hendrix College,Southern Athletic,2025,6,4,1,1
Holy Cross,Patriot,2025,3,9,2,4
Fairmont State,Mountain East,2025,6,5,3,5
Biddeford,Commonwealth Coast,2025,8,2,3,2
Nevada,Mountain West,2025,3,9,2,6
Wisconsin-Stout,Wisconsin,2025,6,5,3,4
Utah,Big 12,2025,11,2,7,2
Hillsdale,Great Midwest Athletic,2025,6,6,5,4
Kentucky,SEC,2025,5,7,2,6
Tiffin,Great Midwest Athletic,2025,7,4,6,3
Ohio Northern,Ohio,2025,8,3,7,1
Wisconsin-River Falls,Wisconsin,2025,14,1,6,1
Central Michigan,Mid-American,2025,7,6,5,3
Colorado Mesa,Rocky Mountain,2025,6,5,5,4
Pace,Northeast 10,2025,0,11,0,9
Maryland,Big Ten,2025,4,8,1,8
Brown,Ivy,2025,5,5,2,5
Ohio Dominican,Great Midwest Athletic,2025,5,5,4,5
Southwestern Oklahoma State,Great American,2025,6,5,6,5
Wyoming,Mountain West,2025,4,8,2,6
California Lutheran University,So. Cal.,2025,6,4,4,4
Mass Maritime,MSCAC,2025,5,5,4,3
Cincinnati,Big 12,2025,7,6,5,4
Guilford College,Old Dominion,2025,2,8,0,6
Wabash College,North Coast,2025,9,2,6,1
Southern Arkansas,Great American,2025,8,3,8,3
Texas State,Sun Belt,2025,7,6,3,5
Georgetown,Patriot,2025,6,6,3,3
Southern Miss,Sun Belt,2025,7,6,5,3
Northeastern State,Independent DII,2025,7,3,1,0
Davenport,GLIAC,2025,5,5,4,4
Augustana University (SD),Northern Sun,2025,9,2,7,2
Denison University,North Coast,2025,6,4,5,2
Fort Hays State,Mid America,2025,6,5,5,4
Edinboro University,Pennsylvania State Athletic,2025,7,4,7,3
Miles College,SIAC,2025,3,8,3,5
Misericordia,Mid Atlantic,2025,7,4,7,2
UTSA,American Athletic,2025,7,6,4,4
Boston College,ACC,2025,2,10,1,7
Frostburg State,Mountain East,2025,11,3,7,1
Claremont-Mudd-Scripps College,So. Cal.,2025,5,5,3,5
University of Mount Union,Ohio,2025,11,1,8,1
Lincoln (PA),CIAA,2025,0,10,0,8
Virginia,ACC,2025,11,3,7,2
Oregon State,Pac-12,2025,2,10,1,1
Grove City College,Presidents',2025,8,3,6,1
East Central (OK),Great American,2025,6,5,6,5
McKendree,Great Lakes,2025,4,6,4,3
Wagner,NEC,2025,5,7,4,3
Bluffton,Heartland,2025,5,5,3,3
Lincoln (MO),Great Lakes,2025,2,9,0,8
Wheeling,Mountain East,2025,6,5,5,3
Huntingdon College (AL),USA South,2025,6,4,5,2
Portland State,Big Sky,2025,1,11,1,7
Bridgewater State,MSCAC,2025,5,5,3,4
Bates,NESCAC,2025,2,7,2,7
Northern Colorado,Big Sky,2025,4,8,2,6
Martin Luther,Upper Midwest,2025,5,5,3,4
Winston-Salem,CIAA,2025,4,6,3,5
Hamline University,Minnesota,2025,1,9,0,9
Lock Haven University,Pennsylvania State Athletic,2025,6,5,5,5
UC Davis,Big Sky,2025,9,4,6,2
Fresno State,Mountain West,2025,9,4,5,3
Utah State,Mountain West,2025,6,7,4,4
Coast Guard,NEWMAC,2025,7,3,5,2
Millsaps,Southern Athletic,2025,6,4,4,3
Tulsa,American Athletic,2025,4,8,1,7
Iowa,Big Ten,2025,9,4,6,3
Southeast Missouri State,Big South-OVC,2025,4,8,3,5
Missouri State,Conference USA,2025,7,6,5,3
UConn,FBS Independents,2025,9,4,0,0
South Florida,American Athletic,2025,9,4,6,2
Lawrence University,Midwest,2025,0,9,0,8
Indianapolis,Great Lakes,2025,11,2,9,0
Concordia Moorhead,Minnesota,2025,7,3,6,3
Florida A&M,SWAC,2025,5,7,4,4
Carleton,Minnesota,2025,6,4,6,3
Alabama A&M,SWAC,2025,4,8,2,7
Greenville,Upper Midwest,2025,4,5,3,4
Harvard,Ivy,2025,9,2,6,1
Pittsburg St,Mid America,2025,10,3,8,1
West Texas A&M,Lone Star,2025,8,4,7,2
Lycoming,Landmark Conference,2025,5,6,4,1
Allegheny,Presidents',2025,4,6,3,4
St. Olaf,Minnesota,2025,4,6,3,6
St. Thomas (MN),Pioneer,2025,7,5,5,3
Auburn,SEC,2025,5,7,1,7
Anna Maria College,MSCAC,2025,7,3,1,0
SUNY Morrisville,Empire 8,2025,0,10,0,6
Minnesota Duluth,Northern Sun,2025,10,2,9,1
Oklahoma Baptist,Great American,2025,2,9,2,9
Crown College,Upper Midwest,2025,7,4,7,1
Minot State,Northern Sun,2025,3,8,2,7
Weber State,Big Sky,2025,4,8,2,6
App State,Sun Belt,2025,5,8,2,7
Randolph-Macon,Old Dominion,2025,9,2,6,0
Shenandoah,Old Dominion,2025,8,3,4,2
University of Mary,Northern Sun,2025,4,7,2,7
West Liberty,Mountain East,2025,3,8,3,5
Charlotte,American Athletic,2025,1,11,0,8
Emporia State University,Mid America,2025,5,6,4,5
Missouri,SEC,2025,8,5,4,4
West Virginia,Big 12,2025,4,8,2,7
Muskingum University,Ohio,2025,4,6,4,4
Colorado School Of Mines,Rocky Mountain,2025,7,4,5,4
Trine University,Michigan,2025,5,5,3,4
Baylor,Big 12,2025,5,7,3,6
Central Arkansas,UAC,2025,3,9,2,6
Ithaca College,Liberty League,2025,8,2,5,1
Ohio State,Big Ten,2025,12,2,9,1
Thiel,Presidents',2025,1,9,0,7
Washington,Big Ten,2025,9,4,5,4
Calvin University,Michigan,2025,7,3,4,3
Southwestern University,Southern Athletic,2025,4,6,2,4
Michigan State,Big Ten,2025,4,8,1,8
Central Washington,Lone Star,2025,10,2,9,0
Merrimack,FCS Independents,2025,4,8,0,1
Bowling Green,Mid-American,2025,4,8,2,6
UNLV,Mountain West,2025,10,4,6,3
Endicott College,Commonwealth Coast,2025,9,2,5,0
TCU,Big 12,2025,9,4,5,4
Oregon,Big Ten,2025,13,2,8,1
LSU,SEC,2025,7,6,3,5
McDaniel College,Centennial,2025,1,9,0,6
South Dakota Mines,Rocky Mountain,2025,3,8,3,6
Massachusetts,Mid-American,2025,0,12,0,8
William Jewell,Great Lakes,2025,3,8,1,7
Northwood (MI),Great Midwest Athletic,2025,9,3,7,2
Pomona Pitzer,So. Cal.,2025,5,5,4,4
Ouachita Baptist,Great American,2025,7,4,7,4
