name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,followers,profile_url,headshot_url
Trinidad Chambliss,Ole Miss Rebels,QB,1593846.0,36,RedShirt Senior,,0,https://www.on3.com/db/trinidad-chambliss-250566/,https://on3static.com/uploads/assets/763/438/438763.jpg
Caleb Downs,Ohio State Buckeyes,S,1568670.0,37,Junior,5.0,300240,https://www.on3.com/db/caleb-downs-16957/,https://on3static.com/uploads/assets/608/225/225608.jpeg
Carson Beck,Miami Hurricanes,QB,1564905.0,38,RedShirt Senior,4.0,166931,https://www.on3.com/db/carson-beck-18711/,https://on3static.com/uploads/dev/assets/526/2/2526.jpg
Colin Simmons,Texas Longhorns,EDGE,1544073.0,39,Junior,5.0,189828,https://www.on3.com/db/colin-simmons-25089/,https://on3static.com/uploads/assets/585/410/410585.jpg
Conner Weigman,Houston Cougars,QB,1523027.0,40,RedShirt Senior,5.0,51084,https://www.on3.com/db/conner-weigman-25459/,https://on3static.com/uploads/assets/911/71/71911.jpeg
Flau'jae Johnson,LSU Tigers,CG,1500772.0,41,Junior,,3717480,https://www.on3.com/db/flaujae-johnson-162407/,https://on3static.com/uploads/assets/337/109/109337.png
Evan Stewart,Oregon Ducks,WR,1487578.0,42,Senior,5.0,2408811,https://www.on3.com/db/evan-stewart-43427/,https://on3static.com/uploads/assets/740/349/349740.jpg
Caleb Wilson,North Carolina Tar Heels,PF,1483543.0,43,Freshman,5.0,21287,https://www.on3.com/db/caleb-wilson-152845/,https://on3static.com/uploads/assets/129/533/533129.jpg
Darryn Peterson,Kansas Jayhawks,CG,1475743.0,44,Freshman,5.0,26568,https://www.on3.com/db/darryn-peterson-156883/,https://on3static.com/uploads/assets/254/485/485254.png
Labaron Philon,Alabama Crimson Tide,PG,1442619.0,45,Sophomore,4.0,38451,https://www.on3.com/db/labaron-philon-153504/,https://on3static.com/uploads/assets/456/205/205456.jpg
Bruce Branch III,Unknown,SF,1432500.0,46,,5.0,0,https://www.on3.com/db/bruce-branch-iii-244995/,https://on3static.com/uploads/assets/216/347/347216.jpg
Caleb Holt,Unknown,SG,1410316.0,47,,5.0,33538,https://www.on3.com/db/caleb-holt-174844/,https://on3static.com/uploads/assets/29/232/232029.jpg
Princewill Umanmielen,LSU Tigers,EDGE,1409339.0,48,Senior,4.0,5189,https://www.on3.com/db/princewill-umanmielen-147578/,https://on3static.com/uploads/assets/649/336/336649.png
Rocco Becht,Penn State Nittany Lions,QB,1393969.0,49,RedShirt Senior,3.0,26881,https://www.on3.com/db/rocco-becht-101459/,https://on3static.com/uploads/assets/376/414/414376.png
Jaden Bradley,Arizona Wildcats,PG,1370000.0,50,Senior,4.0,33934,https://www.on3.com/db/jaden-bradley-52576/,https://on3static.com/uploads/assets/509/23/23509.jpeg
Noah Fifita,Arizona Wildcats,QB,1361204.0,51,RedShirt Senior,3.0,29648,https://www.on3.com/db/noah-fifita-93597/,https://on3static.com/uploads/assets/405/414/414405.png
Jeremy Fears,Michigan State Spartans,PG,1346812.0,52,Junior,4.0,64832,https://www.on3.com/db/jeremy-fears-60371/,https://on3static.com/uploads/assets/909/23/23909.jpeg
CJ Carr,Notre Dame Fighting Irish,QB,1336404.0,53,RedShirt Sophomore,4.0,35240,https://www.on3.com/db/cj-carr-23576/,https://on3static.com/uploads/assets/387/331/331387.png
Duce Robinson,Florida State Seminoles,WR,1336221.0,54,Senior,5.0,20119,https://www.on3.com/db/duce-robinson-39307/,https://on3static.com/uploads/assets/962/218/218962.png
Nate Ament,Tennessee Volunteers,SF,1334723.0,55,Freshman,5.0,14250,https://www.on3.com/db/nate-ament-162087/,https://on3static.com/uploads/assets/431/472/472431.png
Bryce James,Arizona Wildcats,SG,1331813.0,56,Freshman,3.0,3420500,https://www.on3.com/db/bryce-james-157726/,https://on3static.com/uploads/assets/391/208/208391.jpg
Ryan Wingo,Texas Longhorns,WR,1330080.0,57,Junior,4.0,39685,https://www.on3.com/db/ryan-wingo-103907/,https://on3static.com/uploads/assets/181/194/194181.png
Malachi Toney,Miami Hurricanes,WR,1328339.0,58,Sophomore,3.0,136392,https://www.on3.com/db/malachi-toney-158769/,https://on3static.com/uploads/assets/806/219/219806.jpg
Dylan Raiola,Oregon Ducks,QB,1325740.0,59,Sophomore,5.0,200433,https://www.on3.com/db/dylan-raiola-147035/,https://on3static.com/uploads/assets/426/333/333426.png
Chaz Coleman,Tennessee Volunteers,EDGE,1322335.0,60,Sophomore,4.0,0,https://www.on3.com/db/chaz-coleman-242875/,https://on3static.com/uploads/assets/809/506/506809.png
Dylan Mingo,Unknown,PG,1317811.0,61,,5.0,5924,https://www.on3.com/db/dylan-mingo-179195/,https://on3static.com/uploads/assets/828/321/321828.png
Keelon Russell,Alabama Crimson Tide,QB,1315949.0,62,Freshman,5.0,60705,https://www.on3.com/db/keelon-russell-176648/,https://on3static.com/uploads/assets/217/321/321217.jpg
Damon Wilson II,Miami Hurricanes,EDGE,1313993.0,63,Senior,5.0,23690,https://www.on3.com/db/damon-wilson-ii-28748/,https://on3static.com/uploads/assets/341/401/401341.png
Mark Bowman,USC Trojans,TE,1313792.0,64,,5.0,6124,https://www.on3.com/db/mark-bowman-238497/,https://on3static.com/uploads/assets/418/435/435418.jpg
Howard Sampson,Texas Tech Red Raiders,OT,1290073.0,65,RedShirt Senior,0.0,11254,https://www.on3.com/db/howard-sampson-150534/,https://on3static.com/uploads/assets/982/268/268982.png
Gunner Stockton,Georgia Bulldogs,QB,1263842.0,66,RedShirt Senior,4.0,41338,https://www.on3.com/db/gunner-stockton-47246/,https://on3static.com/uploads/assets/78/153/153078.jpg
Anthony Thompson,Ohio State Buckeyes,SF,1255836.0,67,,5.0,2083,https://www.on3.com/db/anthony-thompson-241015/,https://on3static.com/uploads/assets/473/353/353473.jpg
Bear Alexander,Oregon Ducks,DL,1233716.0,68,Senior,4.0,42590,https://www.on3.com/db/bear-alexander-9456/,https://on3static.com/uploads/assets/928/218/218928.png
Keaton Wagler,Illinois Fighting Illini,SG,1219308.0,69,Freshman,3.0,3603,https://www.on3.com/db/keaton-wagler-244210/,https://on3static.com/uploads/assets/790/570/570790.jpg
