school,conference,year,sp_overall,sp_offense,sp_defense
Utah State,Mountain West,2024,-10.4,30.2,40.3
Hawai'i,Mountain West,2024,-10.9,20.9,30.0
UAB,American Athletic,2024,-11.3,25.9,38.0
Rice,American Athletic,2024,-11.4,20.5,30.4
Louisiana Tech,Conference USA,2024,-11.6,15.9,26.3
Air Force,Mountain West,2024,-11.7,17.8,27.5
Florida International,Conference USA,2024,-12.1,20.5,31.3
Florida Atlantic,American Athletic,2024,-12.7,20.8,32.1
Eastern Michigan,Mid-American,2024,-13.3,20.5,34.3
Wyoming,Mountain West,2024,-13.6,16.3,30.8
New Mexico,Mountain West,2024,-14.8,27.6,40.5
Nevada,Mountain West,2024,-15.2,21.0,34.2
Charlotte,American Athletic,2024,-15.3,21.4,37.6
San Diego State,Mountain West,2024,-15.4,17.7,32.1
Central Michigan,Mid-American,2024,-15.8,17.7,34.3
Purdue,Big Ten,2024,-16.2,19.2,33.6
UL Monroe,Sun Belt,2024,-16.7,16.9,32.5
Georgia State,Sun Belt,2024,-17.9,21.0,37.4
Akron,Mid-American,2024,-17.9,15.7,34.6
New Mexico State,Conference USA,2024,-19.0,17.8,38.1
Ball State,Mid-American,2024,-19.8,21.3,40.8
Temple,American Athletic,2024,-20.3,17.3,37.8
Tulsa,American Athletic,2024,-20.6,21.2,40.3
Massachusetts,Mid-American,2024,-21.9,20.5,40.3
UTEP,Conference USA,2024,-22.7,13.7,34.2
Middle Tennessee,Conference USA,2024,-24.4,13.7,37.3
Kennesaw State,Conference USA,2024,-25.1,10.2,35.1
Southern Miss,Sun Belt,2024,-25.6,14.4,39.4
Kent State,Mid-American,2024,-33.0,12.6,43.8
nationalAverages,,2024,0.5522388059701493,27.144029850746268,26.60970149253731
Indiana,Big Ten,2025,32.4,40.8,9.9
Ohio State,Big Ten,2025,30.1,37.6,7.7
Texas Tech,Big 12,2025,27.6,39.3,12.3
Oregon,Big Ten,2025,25.9,38.7,13.5
Notre Dame,FBS Independents,2025,24.4,40.0,16.3
Georgia,SEC,2025,24.1,37.0,14.8
Ole Miss,SEC,2025,24.0,40.4,18.3
Utah,Big 12,2025,22.2,39.7,17.5
Miami,ACC,2025,20.7,34.2,14.3
Texas A&M,SEC,2025,20.7,38.0,16.4
Vanderbilt,SEC,2025,20.3,39.9,21.4
Iowa,Big Ten,2025,19.7,32.1,14.2
Washington,Big Ten,2025,18.4,34.5,15.3
Oklahoma,SEC,2025,18.3,30.1,12.9
Penn State,Big Ten,2025,18.1,35.1,18.8
USC,Big Ten,2025,16.9,38.9,21.0
Texas,SEC,2025,16.2,32.9,17.9
BYU,Big 12,2025,15.9,33.9,18.8
Tennessee,SEC,2025,15.0,39.3,25.4
Alabama,SEC,2025,14.8,32.2,16.1
Missouri,SEC,2025,14.4,31.2,15.4
North Texas,American Athletic,2025,13.8,43.1,28.6
SMU,ACC,2025,13.4,34.2,19.5
Illinois,Big Ten,2025,12.9,33.3,21.7
Michigan,Big Ten,2025,12.4,30.9,17.0
Louisville,ACC,2025,12.4,31.6,19.8
James Madison,Sun Belt,2025,12.3,34.9,21.4
Arizona,Big 12,2025,12.0,33.0,19.5
Auburn,SEC,2025,11.6,28.3,17.4
South Florida,American Athletic,2025,11.6,37.7,25.3
Virginia,ACC,2025,11.1,28.8,18.1
LSU,SEC,2025,10.3,25.8,16.1
Iowa State,Big 12,2025,9.9,28.1,19.5
Clemson,ACC,2025,9.5,27.5,18.9
Georgia Tech,ACC,2025,9.3,32.5,24.9
Pittsburgh,ACC,2025,8.4,31.6,23.5
TCU,Big 12,2025,8.3,32.9,23.9
East Carolina,American Athletic,2025,8.0,32.6,24.0
Memphis,American Athletic,2025,7.6,34.3,28.3
Houston,Big 12,2025,7.4,31.5,23.0
Florida State,ACC,2025,7.2,29.3,21.2
Kansas State,Big 12,2025,7.0,31.3,25.0
San Diego State,Mountain West,2025,6.7,24.4,19.6
Duke,ACC,2025,6.6,34.8,29.2
Tulane,American Athletic,2025,6.3,32.4,27.6
Nebraska,Big Ten,2025,6.2,28.8,22.7
Navy,American Athletic,2025,6.2,33.6,27.9
Toledo,Mid-American,2025,6.0,25.8,18.5
Old Dominion,Sun Belt,2025,5.9,31.6,23.7
South Carolina,SEC,2025,5.9,24.6,20.2
Northwestern,Big Ten,2025,5.8,24.4,20.0
Wake Forest,ACC,2025,5.7,26.6,20.9
UConn,FBS Independents,2025,5.1,32.0,28.5
Arkansas,SEC,2025,5.1,35.8,31.4
NC State,ACC,2025,4.8,31.4,25.5
Cincinnati,Big 12,2025,4.5,30.2,26.4
UNLV,Mountain West,2025,4.3,33.8,29.8
Kansas,Big 12,2025,4.1,30.9,28.5
Mississippi State,SEC,2025,4.1,31.6,29.0
Arizona State,Big 12,2025,3.9,28.3,22.7
Washington State,Pac-12,2025,3.8,24.6,20.5
UTSA,American Athletic,2025,3.7,33.3,30.0
Florida,SEC,2025,3.5,24.5,22.6
Boise State,Mountain West,2025,3.1,29.1,25.1
Texas State,Sun Belt,2025,2.3,36.6,34.6
Fresno State,Mountain West,2025,1.8,23.0,21.1
