name,school,position,nil_valuation,nil_rank,conference,class_year,hometown,height,weight,instagram_followers,twitter_followers,tiktok_followers,recruiting_stars,recruiting_rank,composite_rating,profile_url,scraped_at
Cameron Boozer,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.69314516129032, 'consensusStars': 5, 'consensusNationalRank': 3, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 101104, 'rating': 99.69314516129032, 'stars': 5, 'nationalRank': 3, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'PF', 'stateAbbr': 'FL', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723033
Darian Mensah,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 80.9090909090909, 'consensusStars': 3, 'consensusNationalRank': 2014, 'consensusPositionRank': 113, 'consensusStateRank': 179, 'key': 86876, 'rating': 80.9090909090909, 'stars': 3, 'nationalRank': 2014, 'positionRank': 113, 'stateRank': 179, 'positionAbbr': 'QB', 'stateAbbr': 'CA', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723072
Jayden Maiava,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 85.025, 'consensusStars': 3, 'consensusNationalRank': 968, 'consensusPositionRank': 54, 'consensusStateRank': 5, 'key': 77436, 'rating': 85.025, 'stars': 3, 'nationalRank': 968, 'positionRank': 54, 'stateRank': 5, 'positionAbbr': 'QB', 'stateAbbr': 'HI', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723108
Mason Heintschel,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 87.74, 'consensusStars': 3, 'consensusNationalRank': 664, 'consensusPositionRank': 44, 'consensusStateRank': 27, 'key': 114077, 'rating': 87.74, 'stars': 3, 'nationalRank': 664, 'positionRank': 44, 'stateRank': 27, 'positionAbbr': 'QB', 'stateAbbr': 'OH', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723141
Yaxel Lendeborg,Unknown,Unknown,0,,,,,,,,,,,,,,2026-02-02T20:58:04.723175
CJ Bailey,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 89.11, 'consensusStars': 3, 'consensusNationalRank': 438, 'consensusPositionRank': 27, 'consensusStateRank': 55, 'key': 104152, 'rating': 89.11, 'stars': 3, 'nationalRank': 438, 'positionRank': 27, 'stateRank': 55, 'positionAbbr': 'QB', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723210
Morez Johnson,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 96.77018847909287, 'consensusStars': 4, 'consensusNationalRank': 29, 'consensusPositionRank': 5, 'consensusStateRank': 1, 'key': 86132, 'rating': 96.77018847909287, 'stars': 4, 'nationalRank': 29, 'positionRank': 5, 'stateRank': 1, 'positionAbbr': 'PF', 'stateAbbr': 'IL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723246
Jayden Quaintance,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.87822580645162, 'consensusStars': 5, 'consensusNationalRank': 7, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 112122, 'rating': 98.87822580645162, 'stars': 5, 'nationalRank': 7, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'C', 'stateAbbr': 'NC', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723282
John Mateer,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 81.43409090909091, 'consensusStars': 3, 'consensusNationalRank': 1678, 'consensusPositionRank': 107, 'consensusStateRank': 240, 'key': 79304, 'rating': 81.43409090909091, 'stars': 3, 'nationalRank': 1678, 'positionRank': 107, 'stateRank': 240, 'positionAbbr': 'QB', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723319
Jackson Cantwell,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.10161290322581, 'consensusStars': 5, 'consensusNationalRank': 1, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 112209, 'rating': 99.10161290322581, 'stars': 5, 'nationalRank': 1, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'OT', 'stateAbbr': 'MO', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723353
David Stone,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.50693548387096, 'consensusStars': 5, 'consensusNationalRank': 9, 'consensusPositionRank': 1, 'consensusStateRank': 3, 'key': 103758, 'rating': 98.50693548387096, 'stars': 5, 'nationalRank': 9, 'positionRank': 1, 'stateRank': 3, 'positionAbbr': 'DL', 'stateAbbr': 'FL', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723409
Malik Washington,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 93.97978260869564, 'consensusStars': 4, 'consensusNationalRank': 105, 'consensusPositionRank': 11, 'consensusStateRank': 3, 'key': 108698, 'rating': 93.97978260869564, 'stars': 4, 'nationalRank': 105, 'positionRank': 11, 'stateRank': 3, 'positionAbbr': 'QB', 'stateAbbr': 'MD', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723443
Byrum Brown,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 84.05, 'consensusStars': 3, 'consensusNationalRank': 1158, 'consensusPositionRank': 67, 'consensusStateRank': 29, 'key': 77038, 'rating': 84.05, 'stars': 3, 'nationalRank': 1158, 'positionRank': 67, 'stateRank': 29, 'positionAbbr': 'QB', 'stateAbbr': 'NC', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723477
Jaron-Keawe Sagapolutele,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 96.15399193548386, 'consensusStars': 4, 'consensusNationalRank': 47, 'consensusPositionRank': 6, 'consensusStateRank': 1, 'key': 110191, 'rating': 96.15399193548386, 'stars': 4, 'nationalRank': 47, 'positionRank': 6, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'HI', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723517
Braden Smith,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 85.425, 'consensusStars': 3, 'consensusNationalRank': 209, 'consensusPositionRank': 35, 'consensusStateRank': 8, 'key': 71533, 'rating': 85.425, 'stars': 3, 'nationalRank': 209, 'positionRank': 35, 'stateRank': 8, 'positionAbbr': 'PG', 'stateAbbr': 'IN', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723553
Kingston Flemings,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 97.5007722799344, 'consensusStars': 4, 'consensusNationalRank': 17, 'consensusPositionRank': 3, 'consensusStateRank': 1, 'key': 108548, 'rating': 97.5007722799344, 'stars': 4, 'nationalRank': 17, 'positionRank': 3, 'stateRank': 1, 'positionAbbr': 'PG', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723588
Jared Curtis,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.98010752688172, 'consensusStars': 5, 'consensusNationalRank': 3, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 112208, 'rating': 98.98010752688172, 'stars': 5, 'nationalRank': 3, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'TN', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723622
Jordan Seaton,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.31370967741935, 'consensusStars': 5, 'consensusNationalRank': 18, 'consensusPositionRank': 1, 'consensusStateRank': 5, 'key': 103706, 'rating': 98.31370967741935, 'stars': 5, 'nationalRank': 18, 'positionRank': 1, 'stateRank': 5, 'positionAbbr': 'OT', 'stateAbbr': 'FL', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723673
Tyran Stokes,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.25, 'consensusStars': 5, 'consensusNationalRank': 1, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 111803, 'rating': 99.25, 'stars': 5, 'nationalRank': 1, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'SF', 'stateAbbr': 'WA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723720
Ryan Williams,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.97153225806451, 'consensusStars': 5, 'consensusNationalRank': 5, 'consensusPositionRank': 3, 'consensusStateRank': 2, 'key': 117752, 'rating': 98.97153225806451, 'stars': 5, 'nationalRank': 5, 'positionRank': 3, 'stateRank': 2, 'positionAbbr': 'WR', 'stateAbbr': 'AL', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723768
Denzel Aberdeen,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 90.00156595431098, 'consensusStars': 3, 'consensusNationalRank': 143, 'consensusPositionRank': 21, 'consensusStateRank': 19, 'key': 71408, 'rating': 90.00156595431098, 'stars': 3, 'nationalRank': 143, 'positionRank': 21, 'stateRank': 19, 'positionAbbr': 'CG', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723804
Trinidad Chambliss,Unknown,Unknown,0,,,,,,,,,,,,,,2026-02-02T20:58:04.723839
Caleb Downs,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.0616935483871, 'consensusStars': 5, 'consensusNationalRank': 5, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 2568, 'rating': 99.0616935483871, 'stars': 5, 'nationalRank': 5, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'S', 'stateAbbr': 'GA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723871
Carson Beck,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 91.27644927536232, 'consensusStars': 4, 'consensusNationalRank': 225, 'consensusPositionRank': 16, 'consensusStateRank': 34, 'key': 17468, 'rating': 91.27644927536232, 'stars': 4, 'nationalRank': 225, 'positionRank': 16, 'stateRank': 34, 'positionAbbr': 'QB', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723908
Colin Simmons,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.36129032258064, 'consensusStars': 5, 'consensusNationalRank': 15, 'consensusPositionRank': 2, 'consensusStateRank': 5, 'key': 103782, 'rating': 98.36129032258064, 'stars': 5, 'nationalRank': 15, 'positionRank': 2, 'stateRank': 5, 'positionAbbr': 'EDGE', 'stateAbbr': 'TX', 'fiveStarPlus': True}",,2026-02-02T20:58:04.723944
Conner Weigman,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 97.07705995792429, 'consensusStars': 5, 'consensusNationalRank': 29, 'consensusPositionRank': 4, 'consensusStateRank': 8, 'key': 77451, 'rating': 97.07705995792429, 'stars': 5, 'nationalRank': 29, 'positionRank': 4, 'stateRank': 8, 'positionAbbr': 'QB', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.723980
Flau'jae Johnson,Unknown,Unknown,0,,,,,,,,,,,,,,2026-02-02T20:58:04.724020
Evan Stewart,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.4280767882188, 'consensusStars': 5, 'consensusNationalRank': 8, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 77554, 'rating': 98.4280767882188, 'stars': 5, 'nationalRank': 8, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'WR', 'stateAbbr': 'TX', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724058
Caleb Wilson,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.35, 'consensusStars': 5, 'consensusNationalRank': 5, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 101112, 'rating': 99.35, 'stars': 5, 'nationalRank': 5, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'PF', 'stateAbbr': 'GA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724095
Darryn Peterson,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.69314516129032, 'consensusStars': 5, 'consensusNationalRank': 2, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 101123, 'rating': 99.69314516129032, 'stars': 5, 'nationalRank': 2, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'SG', 'stateAbbr': 'CA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724132
Labaron Philon,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 96.48831967456675, 'consensusStars': 4, 'consensusNationalRank': 34, 'consensusPositionRank': 5, 'consensusStateRank': 2, 'key': 90523, 'rating': 96.48831967456675, 'stars': 4, 'nationalRank': 34, 'positionRank': 5, 'stateRank': 2, 'positionAbbr': 'PG', 'stateAbbr': 'MO', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724169
