player_name,position,school,conference,custom_nil_value,nil_tier,valuation_confidence,performance_value,market_value,potential_value,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,tackles,sacks,interceptions,recruiting_stars,national_rank
Kaleb Brown,WR,UAB,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,5.0,0.0,255.0,2.0,0.0,0.0,0.0,3,948.0
Javon Brown,WR,Toledo,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,156.0,1.0,0.0,0.0,0.0,3,2421.0
Jase Nix,WR,San José State,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1818.0
George Dimopoulos,WR,Northern Illinois,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,3,2095.0
Gentle Hunt,DL,Illinois,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5,0.0,3,1414.0
Jaden Nixon,RB,UCF,Big 12,70000,moderate,low,60000.0,60000.0,10000.0,0.0,0.0,554.0,7.0,88.0,0.0,1.0,0.0,0.0,3,969.0
Ben Barten,DL,Wisconsin,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,3,847.0
Jordan Brown,WR,Nevada,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,3,1331.0
Jordan Brown,WR,Fresno State,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,3,1331.0
Jordan Bride,WR,Grambling,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,7.0,0.0,186.0,1.0,0.0,0.0,0.0,3,2256.0
Sam Siafa,DT,Penn State,Big Ten,70000,moderate,low,35000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9999.0
Parker Peterson,DL,Wisconsin,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3,1792.0
Joshua Porter,WR,South Florida,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,81.0,1.0,0.0,0.0,0.0,3,1977.0
Kareem Burke,WR,Arkansas-Pine Bluff,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,8.0,0.0,480.0,2.0,0.0,0.0,0.0,3,1191.0
Will Swanson,TE,Kansas State,Big 12,70000,moderate,low,50000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,3,855.0
JJ Henry,WR,Abilene Christian,UAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,38.0,0.0,344.0,2.0,0.0,0.0,0.0,3,510.0
Sam Reynolds,WR,Towson,CAA,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,8.0,0.0,206.0,0.0,0.0,0.0,0.0,3,881.0
Sam Olson,TE,Arizona,Big 12,70000,moderate,low,50000.0,65000.0,5000.0,0.0,0.0,0.0,0.0,135.0,2.0,1.0,0.0,0.0,2,3377.0
Brendan Flakes,DL,Northwestern,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3,1385.0
Malik Sherrod,RB,Boise State,Mountain West,70000,moderate,low,60000.0,60000.0,10000.0,0.0,0.0,418.0,4.0,250.0,2.0,2.0,0.0,0.0,3,2145.0
Tamarcus Gray Jr.,WR,Houston Christian,Southland,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,3,1056.0
Taliq Brown,WR,Utah Tech,UAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,8.0,0.0,36.0,0.0,0.0,0.0,0.0,3,1844.0
Chris Parker,WR,UConn,FBS Independents,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,3,2062.0
Yannick Smith,WR,East Carolina,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,583.0,5.0,1.0,0.0,0.0,3,885.0
Jay Jay Etheridge,WR,Kent State,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3,1449.0
Ricky Ortega,WR,Central Connecticut,NEC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,-25.0,0.0,187.0,1.0,0.0,0.0,0.0,3,2771.0
Daijon Calimon,WR,Nevada,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,3,1794.0
Kellan Wyatt,DL,Indiana,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.5,0.0,3,1033.0
Adam Kissayi,DL,Minnesota,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3,565.0
Gerick Robinson,WR,Nevada,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2260.0
Isaiah Davis,WR,Stephen F. Austin,Southland,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,196.0,5.0,0.0,0.0,0.0,3,2194.0
Javon Gipson,WR,Abilene Christian,UAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,17.0,0.0,1022.0,6.0,0.0,0.0,0.0,3,776.0
